name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
SurveyMonkey,http://www.surveymonkey.com,Software|Surveys," 1,150,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,5,1999,2009-04-20,2014-12-15
Xenoport,http://xenoport.com,Biotechnology," 100,900,000 ",ipo,USA,CA,SF Bay Area,Santa Clara,4,1999,2002-06-01,2012-11-21
YapStone,http://www.yapstone.com,Finance|Finance Technology|Financial Services|FinTech|Mobile Payments|Payments," 113,400,000 ",operating,USA,CA,SF Bay Area,Walnut Creek,3,1999,2009-08-13,2015-03-31
Aduro BioTech,http://www.aduro.com,Biotechnology," 143,380,947 ",ipo,USA,CA,SF Bay Area,Berkeley,8,2000,2009-11-17,2015-01-05
Anacor Pharmaceutical,http://www.anacor.com,Biotechnology|Health Care," 198,500,000 ",ipo,USA,CA,SF Bay Area,Palo Alto,8,2000,2002-11-01,2013-06-12
Archemix,http://www.archemix.com,Biotechnology," 101,750,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2000,2002-08-15,2004-04-07
Capella Photonics,http://www.capellainc.com,Web Hosting," 101,505,616 ",operating,USA,CA,SF Bay Area,San Jose,10,2000,2005-09-21,2011-05-25
CareDx,http://www.xdx.com,Biotechnology|Diagnostics|Fitness|Health and Wellness|Health Care|Health Diagnostics," 146,397,292 ",ipo,USA,CA,SF Bay Area,Brisbane,9,2000,2004-12-01,2012-09-12
Celladon,http://www.celladon.net,Biotechnology," 172,013,496 ",ipo,USA,CA,San Diego,La Jolla,12,2000,2005-12-07,2015-11-18
Coraid,http://www.coraid.com,Storage," 114,300,000 ",operating,USA,CA,SF Bay Area,Redwood City,4,2000,2009-12-01,2013-12-01
Deem,http://www.deem.com,Content Syndication|E-Commerce|Marketplaces|Productivity Software|Trading," 504,985,435 ",operating,USA,CA,SF Bay Area,San Francisco,9,2000,2004-01-01,2014-07-23
eHarmony,http://eharmony.com,Curated Web," 113,000,000 ",operating,USA,CA,Los Angeles,Santa Monica,2,2000,2000-06-01,2004-11-01
GCT Semiconductor,http://www.gctsemi.com,Semiconductors," 212,528,399 ",operating,USA,CA,SF Bay Area,San Jose,8,2000,1999-10-01,2014-09-11
Genomatica,http://www.genomatica.com,Clean Technology," 113,125,621 ",operating,USA,CA,San Diego,San Diego,4,2000,2010-04-08,2014-03-07
Infinera Corporation,http://www.infinera.com,Telecommunications|Web Hosting," 112,000,000 ",ipo,USA,CA,SF Bay Area,Sunnyvale,4,2000,2002-11-15,2007-10-23
Kobalt,http://www.kobaltmusic.com,Digital Rights Management|Independent Music Labels|Music Services|Technology," 116,000,000 ",operating,USA,NY,New York City,New York,3,2000,2008-02-01,2015-02-26
