name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
FinancialForce.com,http://www.financialforce.com,Accounting|Cloud Computing|Enterprise Resource Planning|Software," 186,300,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2009,2009-10-01,2015-03-26
Foursquare,https://foursquare.com,Location Based Services|Mobile," 162,350,000 ",operating,USA,NY,New York City,New York,6,2009,2009-09-04,2014-02-04
Gainsight,http://www.gainsight.com,Enterprise Software|Sales Automation," 104,250,000 ",operating,USA,CA,SF Bay Area,Redwood City,6,2009,2011-12-11,2015-11-12
Houzz,http://www.houzz.com,Curated Web|Design|Home Renovation," 213,600,000 ",operating,USA,CA,SF Bay Area,Palo Alto,4,2009,2010-11-11,2014-10-01
Integral Ad Science,http://www.integralads.com,Advertising|Big Data Analytics|Digital Media|Internet," 116,750,070 ",operating,USA,NY,New York City,New York,6,2009,2009-10-06,2015-07-31
MapR Technologies,http://www.mapr.com,Analytics|Big Data|Big Data Analytics|Cloud Computing|Enterprises|Open Source|Software," 173,999,994 ",operating,USA,CA,SF Bay Area,San Jose,5,2009,2009-07-22,2014-06-30
NerdWallet,http://www.nerdwallet.com,Consumers|Credit Cards|Curated Web|Incentives|Personal Finance|Search," 102,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2009,2015-05-11,2015-10-21
Nutanix,http://www.nutanix.com,Enterprise Software|Storage|Virtualization," 312,200,000 ",operating,USA,CA,SF Bay Area,San Jose,5,2009,2011-04-19,2014-08-27
Okta,http://www.okta.com,Enterprise Software," 230,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,2009,2009-09-02,2015-09-08
One Kings Lane,http://www.onekingslane.com,E-Commerce|Furniture|Home & Garden," 225,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2009,2009-12-06,2014-08-01
OneRoof Energy,http://www.oneroofenergy.com,Clean Technology," 195,249,815 ",ipo,USA,CA,San Diego,San Diego,10,2009,2011-09-22,2015-05-12
Optimizely,http://optimizely.com,Ad Targeting|Internet Marketing|Personalization|Software," 146,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2009,2009-12-15,2015-10-13
Personal Capital,http://www.personalcapital.com,Finance|FinTech|Wealth Management," 102,300,000 ",operating,USA,CA,SF Bay Area,Redwood City,6,2009,2009-07-01,2014-10-29
Pinterest,https://pinterest.com,Curated Web|Social Bookmarking|Social Media," 1,315,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,10,2009,2010-01-01,2015-06-01
Primus Power,http://www.primuspower.com,Clean Technology," 107,000,000 ",operating,USA,CA,SF Bay Area,Hayward,5,2009,2010-04-12,2015-09-09
Pure Storage,http://www.purestorage.com,Enterprise Software|Storage," 530,856,468 ",ipo,USA,CA,SF Bay Area,Mountain View,8,2009,2009-10-01,2014-08-11
Quixey,http://www.quixey.com,Technology," 134,900,000 ",operating,USA,CA,SF Bay Area,Mountain View,6,2009,2011-04-07,2015-03-06
Quora,http://quora.com,Curated Web|Semantic Search," 141,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,3,2009,2010-03-28,2014-04-09
Rent the Runway,http://www.renttherunway.com,E-Commerce|Fashion," 114,400,000 ",operating,USA,NY,New York City,New York,4,2009,2010-02-25,2014-12-19
SeatGeek,http://www.SeatGeek.com,Concerts|Search|Sports|Ticketing|Vertical Search," 102,970,000 ",operating,USA,NY,New York City,New York,9,2009,2009-05-22,2015-04-02
Sprinklr,http://www.sprinklr.com/,Advertising|Analytics|Blogging Platforms|Enterprise Software|Facebook Applications|Social CRM|Social Media|Social Media Management|Social Media Marketing|Twitter Applications," 123,500,000 ",operating,USA,NY,New York City,New York,5,2009,2012-03-07,2015-03-31
Square,http://squareup.com,Analytics|Finance|FinTech|Hardware + Software|Mobile|Mobile Payments|P2P Money Transfer," 590,500,000 ",ipo,USA,CA,SF Bay Area,San Francisco,9,2009,2009-11-01,2015-04-01
Stem,http://www.stem.com,Enterprise Software," 100,097,672 ",operating,USA,CA,SF Bay Area,Millbrae,6,2009,2011-04-20,2015-08-13
Tango,http://www.tango.me,Android|iPhone|Messaging|Mobile," 369,247,364 ",operating,USA,CA,SF Bay Area,Mountain View,5,2009,2010-06-01,2014-03-19
thredUP,http://www.thredup.com,E-Commerce|Fashion|Retail," 131,120,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2009,2010-02-24,2015-09-10
Tidemark,http://www.tidemark.com,Analytics|Cloud Computing|Enterprises|PaaS|SaaS," 118,370,901 ",operating,USA,CA,SF Bay Area,Redwood City,8,2009,2010-10-07,2015-06-16
Tradeshift,http://tradeshift.com,Cloud Computing|Enterprise Software|Software," 128,999,992 ",operating,USA,CA,SF Bay Area,San Francisco,4,2009,2011-05-16,2014-05-08
Uber,http://www.uber.com,Automotive|Design|Limousines|Public Transportation|Real Time|Transportation," 8,207,450,000 ",operating,USA,CA,SF Bay Area,San Francisco,13,2009,2009-08-01,2015-09-07
ZestFinance,http://zestfinance.com,Analytics|Big Data|Finance Technology|FinTech|Machine Learning," 282,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,5,2009,2011-07-21,2015-10-06
ADMI Holdings,,Finance|Investment Management," 367,645,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,2010,2010-10-20,2010-10-20
"Alteryx, Inc.",http://alteryx.com,Analytics|Data Integration|Predictive Analytics," 163,000,000 ",operating,USA,CA,Anaheim,Irvine,4,2010,2011-04-05,2015-10-28
Anki,http://anki.com,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics," 105,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2010,2013-06-01,2014-09-26
Calithera Biosciences,http://www.calithera.com,Biotechnology," 104,999,998 ",ipo,USA,CA,SF Bay Area,South San Francisco,6,2010,2010-07-08,2014-07-31
Coherus Biosciences,http://www.coherus.com,Biotechnology," 249,271,980 ",ipo,USA,CA,SF Bay Area,Redwood City,4,2010,2013-01-14,2015-04-01
DataStax,http://datastax.com,Big Data|Databases," 189,700,000 ",operating,USA,CA,SF Bay Area,Santa Clara,6,2010,2010-04-23,2014-09-04
Docker,https://www.docker.com,Development Platforms|Open Source|Software," 180,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2010,2011-03-15,2015-11-09
FDO Holdings,,Financial Services|Investment Management|Retail," 317,279,695 ",operating,USA,CA,Los Angeles,Los Angeles,1,2010,2010-12-07,2010-12-07
Flipboard,http://www.flipboard.com,News," 210,500,000 ",operating,USA,CA,SF Bay Area,Palo Alto,5,2010,2010-07-20,2015-07-23
Flywheel Sports,http://flywheelsports.com,Sports," 108,800,000 ",operating,USA,NY,New York City,New York,1,2010,2014-04-17,2014-04-17
Funding Circle,http://www.fundingcircle.com,Finance|Financial Services|Personal Finance," 273,237,070 ",operating,USA,CA,SF Bay Area,San Francisco,6,2010,2010-02-12,2015-04-22
Gett,http://www.gett.com,Consumer Internet|Marketplaces|Mobile|Mobile Payments|Transportation|Travel," 220,000,000 ",operating,USA,NY,New York City,New York,6,2010,2010-02-07,2015-04-29
JustFab,http://corp.justfab.com/,E-Commerce|Fashion|Lifestyle|Online Shopping|Retail|Shoes," 254,000,000 ",operating,USA,CA,Los Angeles,El Segundo,6,2010,2011-09-21,2014-08-28
Moda Operandi,http://modaoperandi.com/catalog,Fashion," 138,414,215 ",operating,USA,NY,New York City,New York,5,2010,2010-06-23,2015-02-13
Money360,http://www.money360.com/,Real Estate," 113,000,000 ",operating,USA,CA,"Orange County, California",Ladera Ranch,3,2010,2014-01-01,2015-04-14
Motif Investing,https://www.motifinvesting.com,Brokers|Consumers|Finance|Financial Services," 126,500,000 ",operating,USA,CA,SF Bay Area,San Mateo,6,2010,2011-07-07,2015-01-20
Nevro,http://www.nevro.com,Biotechnology," 106,000,000 ",ipo,USA,CA,SF Bay Area,Menlo Park,2,2010,2011-07-19,2013-03-07
Nextdoor,http://nextdoor.com,Communities|Privacy|Social Media," 210,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2010,2012-07-24,2015-03-03
Planet Labs,http://www.planet.com/,Aerospace|Geospatial," 183,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2010,2013-06-25,2015-04-14
Relationship Science,http://relsci.com,B2B|Business Development|Business Services|Charity|Finance|FinTech|Hospitality|Networking|Nonprofits|Sales and Marketing|Venture Capital," 121,000,000 ",operating,USA,NY,New York City,New York,3,2010,2010-01-01,2015-04-16
Revel Systems,https://revelsystems.com,Analytics|Mobile|Mobile Payments|Point of Sale," 128,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2010,2011-05-24,2015-08-18
SGN (Social Gaming Network),http://www.sgn.com,Games," 152,000,000 ",operating,USA,CA,Los Angeles,Culver City,5,2010,2008-05-01,2015-07-23
Stripe,http://stripe.com,Credit Cards|Payments|Software," 280,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2010,2010-08-02,2015-07-28
Sumo Logic,http://www.sumologic.com,Analytics," 155,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,4,2010,2012-01-31,2015-06-01
Tegile Systems,http://www.tegile.com,Data Center Infrastructure|Enterprise Hardware|Flash Storage|Virtualization," 117,523,823 ",operating,USA,CA,SF Bay Area,Newark,4,2010,2010-07-01,2015-05-27
Udemy,http://www.udemy.com,Education|Marketplaces|Technology," 113,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2010,2010-08-31,2015-06-02
Vantage Data Centers,http://www.vantagedatacenters.com,Data Center Infrastructure|Data Centers," 275,000,000 ",operating,USA,CA,SF Bay Area,Santa Clara,2,2010,2010-01-01,2014-04-15
Warby Parker,http://www.warbyparker.com,E-Commerce|Fashion|Retail," 115,500,000 ",operating,USA,NY,New York City,New York,6,2010,2010-10-27,2015-04-30
WeWork,http://www.wework.com,Collaboration|Coworking|Real Estate|Social Media|Technology," 1,002,784,331 ",operating,USA,NY,New York City,New York,6,2010,2012-01-30,2015-06-25
Banjo,http://www.ban.jo,Android|Apps|Concerts|Internet|iOS|iPad|iPhone|Location Based Services|Mobile|News|Real Time|Social Media|Social Search|Sports," 121,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,3,2011,2010-08-01,2015-05-06
Behalf,https://behalf.com,Finance|Internet|Payments," 129,000,000 ",operating,USA,NY,New York City,New York,2,2011,2013-09-03,2015-07-29
CrowdStrike,http://www.crowdstrike.com,Security," 156,000,000 ",operating,USA,CA,Anaheim,Irvine,3,2011,2012-02-23,2015-07-13
DigitalOcean,http://www.digitalocean.com,Cloud Computing|Finance|Networking|Virtualization|Web Hosting," 175,205,800 ",operating,USA,NY,New York City,New York,6,2011,2012-05-17,2015-07-08
Dollar Shave Club,http://www.dollarshaveclub.com,E-Commerce|Retail," 163,500,000 ",operating,USA,CA,Los Angeles,Los Angeles,5,2011,2012-03-06,2015-11-19
Fastly,http://www.fastly.com/,Content Delivery," 129,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2011,2011-01-01,2015-08-05
General Assembly,http://generalassemb.ly,EdTech|Education|Startups," 119,500,000 ",operating,USA,NY,New York City,New York,5,2011,2011-01-24,2015-09-30
Gogoro,http://gogoro.com,Energy," 180,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2011,2011-01-01,2015-11-17
Grand Rounds,http://www.grandrounds.com,Health and Wellness|Health Care|Healthcare Services," 106,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2011,2011-01-01,2015-08-20
Hampton Creek,http://www.hamptoncreek.com/,Consumer Goods|Environmental Innovation|Specialty Foods|Technology," 120,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2011,2011-01-01,2014-12-18
Harry's,http://www.harrys.com,Fashion|Lifestyle|Price Comparison|Social Commerce," 287,100,001 ",operating,USA,NY,New York City,New York,6,2011,2012-08-15,2015-07-07
Honest Co.,http://www.honest.com,E-Commerce," 222,000,000 ",operating,USA,CA,Los Angeles,Santa Monica,4,2011,2012-03-23,2015-08-14
Hortonworks,http://www.hortonworks.com,Big Data|Enterprise Software|Search|Software," 248,000,000 ",ipo,USA,CA,SF Bay Area,Santa Clara,5,2011,2011-06-01,2014-07-24
Ignyta,http://www.ignyta.com,Biotechnology|Health Care," 173,500,000 ",ipo,USA,CA,San Diego,San Diego,7,2011,2012-12-31,2015-11-16
Impossible Foods,http://impossiblefoods.com/,Hospitality," 183,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,2,2011,2014-10-14,2015-10-06
ipsy,http://www.ipsy.com,Beauty|Cosmetics|E-Commerce|Flash Sales|Social Commerce|Subscription Businesses," 103,235,793 ",operating,USA,CA,SF Bay Area,San Mateo,3,2011,2011-12-12,2015-09-14
IRI Group Holdings,,Business Intelligence|Finance|Investment Management," 174,465,605 ",operating,USA,NY,New York City,New York,2,2011,2011-04-28,2015-07-13
Lytro,http://www.lytro.com,Hardware|Hardware + Software|Photography|Software," 150,750,000 ",operating,USA,CA,SF Bay Area,Mountain View,5,2011,2008-08-23,2014-11-13
Maplebear,http://www.maplebear.in/,Education," 220,164,327 ",operating,USA,CA,SF Bay Area,San Francisco,1,2011,2015-07-10,2015-07-10
Mirantis,http://www.mirantis.com,Cloud Computing|Enterprise Software|Infrastructure|Open Source," 220,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,4,2011,2013-01-10,2015-08-24
OPE GEDC Holdings,,Health and Wellness," 211,459,196 ",operating,USA,NY,New York City,New York,1,2011,2011-10-26,2011-10-26
Privlo,http://privlo.com,Finance," 355,900,000 ",operating,USA,CA,Los Angeles,Pasadena,3,2011,2013-05-02,2014-07-30
Renewable Energy Trust Capital,http://renewabletrust.com/,Banking," 239,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,2011,2015-07-14,2015-07-14
Retrophin,http://retrophin.com,Biotechnology|Health Care," 116,000,000 ",ipo,USA,NY,New York City,New York,3,2011,2013-08-16,2014-07-01
SEMYOU,http://www.semyou.com,Cloud Computing|Enterprise Software|SaaS|Software," 200,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,2011,2015-09-28,2015-09-28
Snapchat,http://www.snapchat.com,File Sharing|Messaging|Mobile|Photography," 1,185,585,000 ",operating,USA,CA,CA - Other,Pacific Palisades,8,2011,2012-05-01,2015-05-29
SoFi,http://www.sofi.com,Education|Finance|Financial Services|Peer-to-Peer," 1,766,199,900 ",operating,USA,CA,SF Bay Area,San Francisco,11,2011,2011-09-19,2015-09-30
SoundCloud Inc.,http://www.soundcloud.com/,Artists Globally|Independent Music Labels|Music|Network Security|Usability," 123,319,000 ",operating,USA,CA,Los Angeles,Los Angeles,5,2011,2009-04-14,2014-07-31
Udacity,http://www.udacity.com,EdTech|Education," 160,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,4,2011,2012-01-01,2015-11-11
Wealthfront,http://wealthfront.com,Finance|FinTech|Personal Finance|Stock Exchanges|Wealth Management," 129,500,000 ",operating,USA,CA,SF Bay Area,Palo Alto,5,2011,2008-12-16,2014-10-27
Wish,http://wish.com,Curated Web|E-Commerce|Marketplaces|Mobile," 578,700,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2011,2010-10-21,2015-06-03
Affirm,http://affirm.com,Finance Technology|Financial Services|FinTech|Payments," 320,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2012,2014-06-09,2015-05-06
Blue Apron,http://www.blueapron.com,Cooking|Delivery|E-Commerce|Hospitality," 193,000,000 ",operating,USA,NY,New York City,New York,4,2012,2013-02-19,2015-06-09
Coinbase,https://www.coinbase.com,Bitcoin|E-Commerce|Personal Finance," 106,709,590 ",operating,USA,CA,SF Bay Area,San Francisco,4,2012,2012-09-12,2015-01-20
Compass,http://www.compass.com,Curated Web|Local|Mobile|Real Estate," 123,000,000 ",operating,USA,NY,New York City,New York,4,2012,2012-12-16,2015-09-15
Coursera,http://www.coursera.org,EdTech|Education," 146,100,000 ",operating,USA,CA,SF Bay Area,Mountain View,6,2012,2012-04-18,2015-10-27
Elastic,https://www.elastic.co,Cloud Computing|Open Source|Real Time|Search|Software," 104,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,3,2012,2012-11-08,2014-06-05
Flatiron Health,http://flatiron.com,Health and Wellness|Health Care," 139,443,000 ",operating,USA,NY,New York City,New York,3,2012,2013-01-17,2014-09-15
Fundbox,http://fundbox.com,Business Analytics|Enterprise Software|Payments|Software," 107,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2012,2014-04-10,2015-09-10
Handy,http://handy.com,Apps|Home & Garden|Services|Software," 110,728,926 ",operating,USA,NY,New York City,New York,6,2012,2012-10-16,2015-11-02
IEX Group,http://iextrading.com,Finance|Financial Exchanges|Financial Services|Stock Exchanges," 100,900,000 ",operating,USA,NY,New York City,New York,4,2012,2012-06-29,2015-05-12
"Insikt, Inc.",http://www.insikt.com,Financial Services," 120,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2012,2013-03-01,2015-07-27
Instacart,http://www.instacart.com,E-Commerce|Groceries|Local Businesses," 274,800,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2012,2012-06-01,2014-12-30
Invitae,http://invitae.com,Biotechnology," 195,502,111 ",ipo,USA,CA,SF Bay Area,San Francisco,5,2012,2010-09-15,2014-10-13
Lyft,http://lyft.com,Apps|Collaborative Consumption|College Campuses|Peer-to-Peer|Software|Transportation," 1,012,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,2012,2009-06-01,2015-05-15
Netskope,https://www.netskope.com,Cloud Security|Data Security|Information Security|Software," 131,400,000 ",operating,USA,CA,SF Bay Area,Los Altos,4,2012,2013-01-01,2015-09-03
Peloton,http://www.pelotoncycle.com,Android|Fitness|Hardware + Software|Video Streaming," 119,707,000 ",operating,USA,NY,New York City,New York,6,2012,2012-02-01,2015-12-02
Rouse Properties,http://rouseproperties.com,Real Estate," 510,000,000 ",ipo,USA,NY,New York City,New York,1,2012,2013-11-25,2013-11-25
21 Inc,https://21.co,Big Data|Bitcoin|Hardware + Software|Technology," 121,050,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2013,2013-11-17,2015-03-10
ALPHAEON Corporation,http://alphaeon.com,Social Commerce," 107,060,133 ",operating,USA,CA,Anaheim,Irvine,2,2013,2015-01-16,2015-11-20
AltSchool,http://www.altschool.com,Education|Technology," 133,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2013,2013-08-01,2015-05-04
Audentes Therapeutics,http://audentestx.com,Biotechnology," 137,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2013,2013-07-18,2015-10-13
Bond Street,https://bondstreet.com,Finance|FinTech," 112,200,000 ",operating,USA,NY,New York City,New York,4,2013,2014-02-20,2015-06-18
Carbon3D,http://carbon3d.com,3D Technology," 141,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,3,2013,2013-12-31,2015-08-20
Collective Health,http://collectivehealth.com,Analytics|Business Intelligence|Health and Wellness|Health Care|Health Care Information Technology|Healthcare Services|Insurance|Software," 125,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,3,2013,2014-01-31,2015-10-20
Cyanogen,http://cyngn.com,Services|Software," 115,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,3,2013,2013-09-18,2015-03-23
Earnest,http://meetearnest.com,Consumer Lending|Credit|Finance," 299,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2013,2014-05-20,2015-11-17
Illumio,http://www.illumio.com,Data Centers|Enterprise Software|Security|Software," 142,500,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,3,2013,2013-01-14,2015-04-14
Jaunt,http://jauntvr.com,Software," 100,210,000 ",operating,USA,CA,SF Bay Area,Palo Alto,4,2013,2013-12-24,2015-09-21
"LiftForward, Inc.",https://www.liftforward.com,Financial Services," 261,300,000 ",operating,USA,NY,New York City,New York,4,2013,2014-08-11,2015-07-20
NantMobile,http://nantmobile.com/,Software," 110,000,000 ",operating,USA,CA,Los Angeles,Culver City,4,2013,2012-10-03,2014-10-31
NantWorks,http://nantmobile.com/,Semiconductors," 140,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,2,2013,2012-07-25,2014-05-18
Oscar,http://hioscar.com,Health and Wellness|Insurance," 327,500,000 ",operating,USA,NY,New York City,New York,5,2013,2013-07-19,2015-09-15
Pivotal Software,http://www.pivotal.io,Big Data|Business Intelligence|Enterprise Software|PaaS|Product Design|Product Development Services|Software," 105,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,1,2013,2013-04-24,2013-04-24
Slack,http://slack.com,Collaboration|Enterprise Software|Unifed Communications," 339,950,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2013,2009-01-01,2015-04-16
Vessel,http://www.vessel.com/,Content|Content Creators|Internet|Video," 132,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2013,2014-06-24,2015-04-17
Vroom.com,http://www.vroom.com,Automotive|Cars|E-Commerce," 108,000,000 ",operating,USA,NY,New York City,New York,3,2013,2015-06-16,2015-07-20
Zenefits,http://www.zenefits.com,Enterprise Software|Health and Insurance|Human Resources," 583,600,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2013,2013-07-26,2015-05-06
Symphony,http://www.symphony.com,Technology," 166,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,2,2014,2014-10-01,2015-10-12
