name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Phraxis,Health Care," 3,815,251 ",operating,USA,MN,Minneapolis,Saint Paul,4,2008,2010-12-20,2013-10-23
Physicians Interactive,Advertising," 17,000,000 ",operating,USA,MA,Boston,Reading,1,2008,2012-01-05,2012-01-05
Pixability,Advertising|Internet Marketing|Video Streaming," 27,460,157 ",operating,USA,MA,Boston,Boston,5,2008,2009-12-10,2015-04-08
PlayMaker CRM,Health Care," 1,125,000 ",operating,USA,TN,Nashville,Franklin,2,2008,2013-09-01,2014-10-15
Play Megaphone,Broadcasting|Entertainment|Games|Television," 4,300,000 ",operating,USA,NY,New York City,New York,1,2008,2013-10-21,2013-10-21
PlotWatt,Analytics," 4,714,998 ",operating,USA,NC,Raleigh,Durham,3,2008,2010-12-09,2012-07-02
Plures Technologies,Consulting," 6,411,000 ",operating,USA,NY,"Rochester, New York",Canandaigua,3,2008,2010-09-30,2013-05-09
Pong Research Corporation,Android|iPad|iPhone|Mobile|NFC," 21,500,000 ",operating,USA,VA,"Washington, D.C.",Leesburg,5,2008,2011-07-13,2014-06-16
Precise Light Surgical,Biotechnology," 4,500,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,1,2008,2013-10-15,2013-10-15
Precursor Energetics,Clean Technology," 9,500,005 ",operating,USA,CA,SF Bay Area,Santa Clara,4,2008,2010-01-06,2013-04-01
Presage Biosciences,Biotechnology," 13,566,295 ",operating,USA,WA,Seattle,Seattle,4,2008,2009-11-01,2013-03-13
PRNMS INVESTMENTS,Finance," 3,500,000 ",operating,USA,CO,Denver,Greenwood Village,1,2008,2010-07-07,2010-07-07
Prodigo Solutions,Health Care|Software," 12,500,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,2008,2014-07-16,2014-07-16
"Progyny, Inc.",Health Care," 78,349,551 ",operating,USA,CA,SF Bay Area,Menlo Park,5,2008,2012-02-02,2015-03-18
Project Manager,Project Management|Software," 3,500,000 ",operating,USA,TX,Austin,Austin,1,2008,2014-06-19,2014-06-19
Promethean,Biotechnology," 3,684,991 ",operating,USA,CT,Hartford,East Hartford,1,2008,2010-01-13,2010-01-13
Prometheus Energy,Clean Technology," 20,000,000 ",operating,USA,WA,Seattle,Redmond,1,2008,2009-07-06,2009-07-06
Protom International,Biotechnology," 1,796,000 ",operating,USA,TX,Dallas,Flower Mound,2,2008,2009-04-30,2013-03-01
Providence Medical Technology,Medical Devices," 18,800,000 ",operating,USA,CA,SF Bay Area,Lafayette,2,2008,2014-03-31,2015-08-26
Proxio,Networking|Real Estate," 4,000,000 ",operating,USA,CA,SF Bay Area,San Bruno,1,2008,2013-03-12,2013-03-12
PublishThis,Content|Content Discovery|Curated Web|Email Marketing|Sales and Marketing|Social Media|Software," 7,738,628 ",operating,USA,CA,Los Angeles,Sherman Oaks,2,2008,2011-01-01,2011-12-01
QR Pharma,Biotechnology," 7,516,103 ",operating,USA,PA,Philadelphia,Berwyn,6,2008,2010-01-15,2015-05-26
Qstream,Analytics|Computers|Enterprise Software," 7,305,000 ",operating,USA,MA,Boston,Burlington,3,2008,2013-08-12,2015-01-13
Qualtré,Hardware + Software," 47,069,660 ",operating,USA,MA,Boston,Marlborough,8,2008,2008-08-20,2014-12-17
Quorum,Business Services|Enterprise Software|Homeland Security|Network Security|Storage|Virtualization," 42,906,442 ",operating,USA,CA,SF Bay Area,San Jose,8,2008,2009-11-17,2014-10-10
R2 Semiconductor,Semiconductors," 35,158,297 ",operating,USA,CA,SF Bay Area,Sunnyvale,5,2008,2009-05-01,2015-08-19
Radical Studios,Advertising," 5,300,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,2008,2008-06-01,2008-06-01
Ranker,Curated Web|Interest Graph|Reviews and Recommendations|Semantic Web," 5,100,000 ",operating,USA,CA,Los Angeles,Los Angeles,4,2008,2008-06-01,2013-06-27
Rate Reset,Finance|Financial Services|Real Estate," 1,115,000 ",operating,USA,VA,"Washington, D.C.",Mclean,3,2008,2009-10-31,2011-03-16
Reach Pros,Local Businesses," 7,550,000 ",operating,USA,CA,Los Angeles,Westlake Village,2,2008,2012-01-27,2013-05-31
RECOMBINETICS,Biotechnology," 5,346,050 ",operating,USA,MN,Minneapolis,Saint Paul,4,2008,2013-06-28,2015-11-20
RecordSetter,Curated Web|Video," 1,500,000 ",operating,USA,NV,Las Vegas,Las Vegas,3,2008,2009-09-01,2013-05-01
Redline Trading Solutions,Software," 12,453,432 ",operating,USA,MA,Boston,Woburn,2,2008,2010-05-07,2014-07-18
Redwood Bioscience,Biotechnology," 11,898,299 ",operating,USA,CA,SF Bay Area,Emeryville,5,2008,2010-03-03,2014-01-28
Reflex Systems,Security|Virtualization," 18,500,000 ",operating,USA,GA,Atlanta,Atlanta,2,2008,2009-04-17,2011-05-27
Renewable Funding,Clean Technology," 32,200,000 ",operating,USA,CA,SF Bay Area,Oakland,2,2008,2009-10-29,2014-04-24
RentWiki,Real Estate," 3,730,000 ",operating,USA,GA,Atlanta,Atlanta,2,2008,2008-07-01,2010-04-14
Reset Therapeutics,Biotechnology," 23,896,231 ",operating,USA,CA,SF Bay Area,South San Francisco,2,2008,2013-12-03,2015-10-08
ReShape Medical,Health Care," 100,250,000 ",operating,USA,CA,Anaheim,San Clemente,8,2008,2007-08-31,2015-08-26
Resonate,Advertising|Brand Marketing|Business Analytics|Internet Marketing|Marketing Automation|Market Research|Politics|Predictive Analytics," 29,000,000 ",operating,USA,VA,"Washington, D.C.",Reston,4,2008,2009-05-06,2014-06-30
Restaurant Revolution Technologies,Delivery|Hospitality," 3,665,400 ",operating,USA,AZ,Phoenix,Phoenix,3,2008,2010-05-03,2013-08-13
Restlet,Android|Developer APIs|PaaS|Software," 4,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,2,2008,2013-11-14,2014-11-21
Rethink Robotics,Manufacturing|Robotics," 113,500,350 ",operating,USA,MA,Boston,Boston,7,2008,2008-08-21,2015-04-16
Reveal Data,Software," 1,095,000 ",operating,USA,PA,Philadelphia,Audubon,1,2008,2011-12-28,2011-12-28
ReVent Medical,Hardware + Software," 4,091,585 ",operating,USA,CA,SF Bay Area,Cupertino,3,2008,2009-10-28,2012-01-05
RevTrax,Advertising|Coupons," 1,825,800 ",operating,USA,NY,New York City,New York,3,2008,2007-01-21,2009-10-13
Rev Worldwide,E-Commerce|Mobile," 10,015,940 ",operating,USA,TX,Austin,Austin,3,2008,2013-02-01,2013-12-23
"Rhiza, Inc.",Analytics|Enterprise Software|Maps|Visualization," 4,500,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,2,2008,2014-06-17,2015-07-30
Rhythm Pharmaceuticals,Biotechnology," 135,900,000 ",operating,USA,MA,Boston,Boston,9,2008,2010-03-15,2015-09-24
Rivertop Renewables,Clean Technology," 28,160,000 ",operating,USA,MT,Missoula,Missoula,3,2008,2008-11-11,2014-04-09
RJMetrics,Analytics|Business Intelligence|SaaS|Software," 23,950,000 ",operating,USA,PA,Philadelphia,Philadelphia,3,2008,2012-01-03,2014-09-15
Roambi,Analytics," 48,349,999 ",operating,USA,CA,San Diego,Solana Beach,4,2008,2009-09-23,2011-09-15
Rocket Fuel,Ad Targeting|Advertising|Software," 76,600,000 ",ipo,USA,CA,SF Bay Area,Redwood City,5,2008,2008-08-01,2012-06-28
Rocket Lawyer,Legal," 46,150,818 ",operating,USA,CA,SF Bay Area,San Francisco,4,2008,2009-01-08,2013-05-13
Rolith,Nanotechnology|Solar," 5,700,000 ",operating,USA,CA,SF Bay Area,Pleasanton,2,2008,2010-08-01,2012-04-05
Rooibee Red Tea,Food Processing|Manufacturing|Sales and Marketing," 2,000,000 ",operating,USA,KY,Louisville,Louisville,1,2008,2015-03-25,2015-03-25
Roomorama,Hotels|Online Rental|Peer-to-Peer|Travel," 2,300,000 ",operating,USA,NY,New York City,New York,3,2008,2011-02-01,2012-04-02
Root Metrics,Crowdsourcing|Mobile|Wireless," 5,893,063 ",operating,USA,WA,Seattle,Bellevue,4,2008,2009-02-11,2011-07-13
Roundup Media,Advertising," 7,601,029 ",operating,USA,WA,Seattle,Seattle,1,2008,2015-01-17,2015-01-17
Rubicon Global,Technology," 85,000,000 ",operating,USA,GA,Atlanta,Atlanta,3,2008,2012-07-30,2015-09-18
Runa Tea,Food Processing," 5,750,000 ",operating,USA,NY,New York City,Brooklyn,1,2008,2014-10-14,2014-10-14
Runic Games,Games," 7,000,000 ",operating,USA,WA,Seattle,Seattle,2,2008,2009-10-27,2010-06-10
RxResults,Biotechnology," 4,150,000 ",operating,USA,AR,Little Rock,Little Rock,2,2008,2010-03-19,2014-09-04
Rx Savings Solutions,Health Care," 2,700,000 ",operating,USA,KS,Kansas City,Overland Park,1,2008,2015-09-22,2015-09-22
RxVantage,Enterprise Software|Pharmaceuticals," 2,750,000 ",operating,USA,CA,Los Angeles,Culver City,2,2008,2008-01-01,2011-12-31
Sailthru,Ad Targeting|Analytics|Big Data|E-Commerce|Email|Email Marketing|Personalization|Public Relations," 48,000,000 ",operating,USA,NY,New York City,New York,4,2008,2010-07-26,2013-12-17
Samasource,Crowdsourcing|Enterprises|Enterprise Software|Nonprofits|Outsourcing|Social Business|Startups," 1,507,200 ",operating,USA,CA,SF Bay Area,San Francisco,12,2008,2008-09-01,2013-03-01
Samba TV,Advertising|Consumer Electronics|Social Television|Television|Video," 8,163,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2008,2012-02-07,2012-05-02
Sarnova,Health and Wellness|Health Diagnostics," 10,500,000 ",operating,USA,OH,"Columbus, Ohio",Dublin,2,2008,2009-04-24,2009-12-31
Sauce Labs,Enterprise Software|SaaS|Software|Web Development," 31,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2008,2009-07-30,2015-02-05
ScripsAmerica,Biotechnology," 4,200,537 ",operating,USA,DC,"Washington, D.C.",Washington,2,2008,2013-11-07,2014-12-10
ScrollMotion,Apps|Enterprises|iPad|iPhone|Mobile|Software," 49,647,751 ",operating,USA,NY,New York City,New York,7,2008,2009-12-30,2015-11-12
SCVNGR,Games|Mobile," 40,785,000 ",operating,USA,MA,Boston,Boston,6,2008,2008-06-01,2012-08-02
Securus,Gps|Security," 4,651,137 ",operating,USA,NC,Raleigh,Cary,6,2008,2010-08-04,2014-04-13
SeeClickFix,Curated Web|Internet|iPhone|Local|Local Based Services|Mobile|Politics|Web Tools," 3,365,000 ",operating,USA,CT,Hartford,New Haven,3,2008,2009-08-24,2015-06-30
Selecta Biosciences,Biotechnology," 182,042,306 ",operating,USA,MA,Boston,Watertown,11,2008,2009-02-25,2015-09-08
Sell My Timeshare NOW,Online Rental|Real Estate|Travel," 10,100,000 ",operating,USA,NH,"Manchester, New Hampshire",Dover,2,2008,2008-12-16,2010-06-07
SemaConnect,Clean Technology," 26,300,000 ",operating,USA,MD,"Washington, D.C.",Bowie,3,2008,2011-11-22,2015-07-20
Semantify,Apps|Business Intelligence|Enterprise Search|Publishing|Search|Semantic Web," 3,200,000 ",operating,USA,IL,Chicago,Chicago,2,2008,2008-09-16,2010-08-20
Sephure,Medical Devices," 3,200,022 ",operating,USA,MA,Boston,Concord,1,2008,2015-06-25,2015-06-25
Sera Prognostics,Biotechnology," 69,586,850 ",operating,USA,UT,Salt Lake City,Salt Lake City,7,2008,2011-01-04,2015-01-07
Seva Call,Internet," 1,300,000 ",operating,USA,MD,"Washington, D.C.",Potomac,1,2008,2011-11-01,2011-11-01
Seventh Sense Biosystems,Biotechnology," 42,027,500 ",operating,USA,MA,Boston,Cambridge,13,2008,2010-05-04,2014-08-13
SFJ Pharmaceuticals,Biotechnology|Pharmaceuticals|Venture Capital," 69,500,000 ",operating,USA,CA,SF Bay Area,Pleasanton,4,2008,2012-04-01,2013-04-01
Sharethrough,Advertising|Brand Marketing|Monetization|Software," 38,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2008,2007-04-01,2014-09-29
Sharklet Technologies,Biotechnology|Medical," 3,174,554 ",operating,USA,CO,Denver,Aurora,3,2008,2009-07-08,2014-12-26
Shasta Crystals,Hardware + Software," 2,393,883 ",operating,USA,CA,SF Bay Area,San Francisco,4,2008,2010-03-16,2012-09-17
ShopCity.com,E-Commerce|Local Advertising|Marketplaces|Social Commerce," 1,500,000 ",operating,USA,CA,SF Bay Area,Mountain View,1,2008,2008-01-01,2008-01-01
ShopKeep,Cloud Computing|Enterprise Software|Point of Sale|Retail|SaaS," 97,200,000 ",operating,USA,NY,New York City,New York,4,2008,2012-01-17,2015-07-28
ShopSavvy,Mobile|Shopping," 9,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2008,2008-08-01,2011-11-02
ShoutEm,Cloud Computing|MicroBlogging|Mobile|Startups|Web Hosting," 1,648,560 ",operating,USA,NY,New York City,New York,2,2008,2009-02-01,2010-08-01
Shustir,Curated Web|E-Commerce|Online Shopping|Sales and Marketing|Social Commerce|Social Network Media," 1,328,000 ",operating,USA,NY,New York City,New York,1,2008,2009-04-21,2009-04-21
Sierra Photonics,Hardware + Software," 8,342,782 ",operating,USA,CA,SF Bay Area,Livermore,3,2008,2011-08-01,2014-06-05
SignalSet,Mobile," 6,000,000 ",operating,USA,WA,Seattle,Seattle,1,2008,2011-04-27,2011-04-27
Siluria Technologies,Nanotechnology," 124,468,875 ",operating,USA,CA,SF Bay Area,San Francisco,7,2008,2009-06-05,2015-11-17
Silvercare Solutions,Health and Wellness," 1,777,995 ",operating,USA,TN,Nashville,Nashville,3,2008,2009-02-17,2012-03-01
SimpliVT,Software," 15,962,500 ",operating,USA,MA,Boston,Waltham,3,2008,2009-10-21,2012-01-09
Simraceway,Games," 14,025,500 ",operating,USA,CA,SF Bay Area,San Francisco,4,2008,2011-02-16,2012-02-07
Sir Kensington's,Consumer Goods|Manufacturing|Specialty Foods," 8,500,000 ",operating,USA,NY,New York City,New York,1,2008,2015-08-14,2015-08-14
Skoodat,Cloud Computing|Colleges|EdTech|Education|K-12 Education|Software|Web CMS," 2,000,000 ",operating,USA,TN,Chattanooga,Chattanooga,2,2008,2008-11-04,2009-09-04
Skyroam,Wireless," 23,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,2008,2015-08-05,2015-08-05
Smule,Audio|iPhone|Mobile|Music," 80,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2008,2008-01-01,2015-04-23
SnagFilms,Apps|Entertainment|Film|Social Media|Video," 29,472,731 ",operating,USA,DC,"Washington, D.C.",Washington,4,2008,2011-01-16,2013-12-25
SocialChorus,Content|Mobile Enterprise|SaaS|Social Media Marketing|Software," 15,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2008,2009-02-23,2014-09-18
Sofie Biosciences,Biotechnology," 8,500,000 ",operating,USA,CA,Los Angeles,Culver City,3,2008,2010-12-08,2014-10-17
Soft Tissue Regeneration,Health Care," 19,633,619 ",operating,USA,CT,Hartford,New Haven,5,2008,2008-04-15,2014-11-07
Solar Pool Technologies,Consumer Electronics," 2,315,000 ",operating,USA,AZ,Phoenix,Phoenix,2,2008,2014-07-10,2015-08-25
Solidia Technologies,Clean Technology," 27,000,000 ",operating,USA,NJ,Newark,Piscataway,2,2008,2012-02-01,2014-12-09
Sonatype,Open Source|Software," 44,707,328 ",operating,USA,MD,Baltimore,Fulton,4,2008,2008-06-30,2012-07-10
Soraa,Clean Technology|Lighting|Semiconductors," 101,600,000 ",operating,USA,CA,SF Bay Area,Fremont,4,2008,2008-02-01,2013-01-31
SpareFoot,Marketplaces|Self Storage|Startups|Storage," 49,350,000 ",operating,USA,TX,Austin,Austin,5,2008,2009-09-01,2015-03-11
Sparxent,Enterprise Software," 24,425,000 ",operating,USA,UT,Salt Lake City,Salt Lake City,2,2008,2009-07-01,2009-07-10
Speakaboos,EdTech|Education|Language Learning|Publishing," 25,200,000 ",operating,USA,NY,New York City,New York,3,2008,2013-08-27,2015-10-26
Spinal Simplicity,Health Care," 3,855,156 ",operating,USA,KS,Kansas City,Lenexa,2,2008,2011-12-30,2014-02-14
Spoonflower,Art|Curated Web|DIY|Handmade|Women," 25,000,000 ",operating,USA,NC,Raleigh,Durham,1,2008,2015-08-26,2015-08-26
Sport Ngin,Software," 39,129,500 ",operating,USA,MN,Minneapolis,Minneapolis,5,2008,2009-06-12,2014-07-17
Spredfast,Enterprise Software|Facebook Applications|Photo Sharing|Social Media|Social Network Media|Twitter Applications|Video Streaming," 88,100,000 ",operating,USA,TX,Austin,Austin,5,2008,2010-04-14,2015-03-03
Springpad,Apps|Mobile|Task Management|Web Tools," 7,320,977 ",operating,USA,MA,Boston,Charlestown,3,2008,2008-06-01,2013-02-06
Stack Exchange,Databases|Software," 68,000,000 ",operating,USA,NY,New York City,New York,4,2008,2010-05-04,2015-01-20
Steep Hill,Biotechnology|Medical|Recreation," 1,350,050 ",operating,USA,CA,SF Bay Area,Berkeley,2,2008,2015-03-12,2015-08-25
Stem CentRx,Biotechnology|Health Diagnostics," 473,526,990 ",operating,USA,CA,SF Bay Area,South San Francisco,3,2008,2011-03-16,2015-09-09
Stemgent,Biotechnology," 51,885,190 ",operating,USA,MA,Boston,Cambridge,8,2008,2009-03-01,2012-08-13
StockTwits,Curated Web|Social Network Media|Software," 8,600,000 ",operating,USA,NY,New York City,New York,5,2008,2008-09-23,2010-10-19
StormWind,EdTech|Education," 9,705,000 ",operating,USA,AZ,Phoenix,Scottsdale,3,2008,2009-07-17,2014-01-21
StreamLink Software,SaaS|Software," 3,500,000 ",operating,USA,OH,Cleveland,Cleveland,2,2008,2014-03-05,2015-05-18
Style for Hire,Fashion," 1,075,000 ",operating,USA,NY,New York City,Brooklyn,2,2008,2011-01-21,2011-12-14
Sungevity,Clean Technology," 245,500,000 ",operating,USA,CA,SF Bay Area,Oakland,8,2008,2007-12-12,2015-07-25
SunPods,Clean Technology," 1,199,995 ",operating,USA,CA,SF Bay Area,San Jose,2,2008,2009-06-03,2010-04-02
Superpedestrian,Automotive|Electric Vehicles," 6,100,000 ",operating,USA,MA,Boston,Cambridge,2,2008,2013-10-21,2014-09-29
Sustainability Roundtable,Consulting|Real Estate|Sustainability," 1,200,000 ",operating,USA,MA,Boston,Cambridge,1,2008,2011-01-07,2011-01-07
Svaya Nanotechnologies,Nanotechnology," 21,507,228 ",operating,USA,CA,SF Bay Area,Sunnyvale,5,2008,2010-03-02,2012-07-13
Swagbucks,Advertising|Digital Media|E-Commerce|Gift Card|Internet Marketing|Market Research|Mobile|Online Shopping|Search|Surveys|Virtual Currency," 60,000,000 ",operating,USA,CA,Los Angeles,El Segundo,1,2008,2014-05-13,2014-05-13
SweetLabs,Android|App Discovery|SaaS|Software," 21,500,000 ",operating,USA,CA,San Diego,San Diego,3,2008,2008-09-28,2011-09-29
Syapse,Enterprise Software|Health Care Information Technology|Semantic Search," 14,600,000 ",operating,USA,CA,SF Bay Area,Palo Alto,3,2008,2011-01-01,2014-07-10
T1 Visions,Software," 7,400,000 ",operating,USA,NC,Charlotte,Charlotte,3,2008,2008-01-01,2014-03-31
T5 Data Centers,Security," 113,000,000 ",operating,USA,GA,Atlanta,Atlanta,1,2008,2013-05-14,2013-05-14
Tactus Technology,Human Computer Interaction," 25,400,000 ",operating,USA,CA,SF Bay Area,Fremont,3,2008,2010-02-01,2014-01-02
TakeLessons,Education|Local|Marketplaces|Music|Services|Software|Tutoring," 19,000,000 ",operating,USA,CA,San Diego,San Diego,5,2008,2006-07-01,2014-03-25
Talk Local,Advertising|Internet Marketing|Local|Mobile|Sales and Marketing|Search|SEO|Social Media|Web Presence Management," 3,900,000 ",operating,USA,MD,"Washington, D.C.",College Park,3,2008,2011-11-01,2014-12-10
Tampa Bay WaVE,Apps|Mobile|Software|Startups|Technology," 7,000,000 ",operating,USA,FL,Tampa,Tampa,1,2008,2014-07-09,2014-07-09
Tandem Diabetes Care,Health Care," 152,001,200 ",ipo,USA,CA,San Diego,San Diego,4,2008,2008-07-07,2012-09-11
Tango Analytics,Retail," 30,000,000 ",operating,USA,TX,Dallas,Irving,1,2008,2015-07-14,2015-07-14
Tango Management Consulting,Consulting," 30,000,000 ",operating,USA,TX,Dallas,Irving,1,2008,2015-07-14,2015-07-14
Tap 'n Tap,Android|Digital Media|Mobile|Mobile Advertising," 2,100,000 ",operating,USA,MA,Boston,Cambridge,3,2008,2010-02-09,2013-07-01
TARIS Biomedical,Biotechnology," 83,800,001 ",operating,USA,MA,Boston,Lexington,5,2008,2009-06-25,2015-10-27
Tarpon Towers,Messaging," 30,000,000 ",operating,USA,FL,Sarasota - Bradenton,Bradenton,2,2008,2009-06-09,2009-12-01
TaskRabbit,Curated Web|E-Commerce|E-Commerce Platforms|Online Rental|Peer-to-Peer," 37,675,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2008,2009-05-28,2012-07-23
TaskUs,Business Productivity|Enterprise Software," 15,000,000 ",operating,USA,CA,Los Angeles,Santa Monica,1,2008,2015-06-08,2015-06-08
Tealium,Enterprise Software," 77,900,000 ",operating,USA,CA,San Diego,San Diego,5,2008,2012-01-10,2015-02-17
TeamSupport,CRM|Customer Service|Customer Support Tools|Enterprise Software," 1,250,000 ",operating,USA,TX,Dallas,Dallas,1,2008,2014-06-11,2014-06-11
TechTol Imaging,Games," 2,000,000 ",operating,USA,OH,Toledo,Sylvania,1,2008,2009-10-16,2009-10-16
Telcare,Mobile," 63,460,000 ",operating,USA,MD,"Washington, D.C.",Bethesda,4,2008,2010-05-14,2014-10-21
Telesocial,Developer APIs|Messaging|Mobile|Public Relations|Telecommunications|VoIP|Wireless," 1,093,493 ",operating,USA,CA,SF Bay Area,San Francisco,2,2008,2011-01-24,2011-09-19
tenKsolar,Manufacturing," 36,040,675 ",operating,USA,MN,Minneapolis,Bloomington,7,2008,2010-03-01,2014-01-27
Thar Pharmaceuticals,Biotechnology," 9,608,656 ",operating,USA,PA,Pittsburgh,Pittsburgh,5,2008,2009-12-21,2014-09-02
The Detection Group,Services," 1,602,615 ",operating,USA,CA,SF Bay Area,Palo Alto,1,2008,2015-04-07,2015-04-07
The Grommet,News," 5,708,020 ",operating,USA,MA,Boston,Somerville,5,2008,2010-04-15,2012-09-17
The Medical Memory,Diagnostics|Health Care|Hospitals," 2,350,000 ",operating,USA,AZ,Phoenix,Phoenix,2,2008,2014-04-28,2015-07-08
TheraCell,Medical Devices," 1,419,000 ",operating,USA,CA,Los Angeles,Northridge,2,2008,2009-09-03,2015-03-17
Thermedical,Biotechnology," 7,000,000 ",operating,USA,MA,Boston,Waltham,2,2008,2012-03-20,2013-05-15
TheWrap,Blogging Platforms|Entertainment|News," 3,500,000 ",operating,USA,CA,Los Angeles,Santa Monica,3,2008,2008-08-11,2010-04-27
ThinkEco,Clean Technology|Energy Efficiency|Home Automation|Sustainability," 7,335,875 ",operating,USA,NY,New York City,New York,4,2008,2009-09-23,2014-01-02
Thumbtack,Curated Web|Service Providers," 273,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2008,2010-06-09,2015-09-29
Tintri,Enterprise Software|Storage|Virtualization," 260,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,6,2008,2011-03-24,2015-08-05
TopSchool,Education," 20,700,000 ",operating,USA,CO,Denver,Denver,4,2008,2008-06-17,2012-03-15
Touchstorm,Brand Marketing|Market Research|Technology|Video," 12,000,000 ",operating,USA,NY,New York City,New York,5,2008,2008-07-30,2014-08-01
Traackr,Internet Marketing|Market Research|Search|Social Media|Technology," 3,727,913 ",operating,USA,CA,SF Bay Area,San Francisco,5,2008,2011-04-29,2014-11-13
tracx,Advertising|Analytics|Brand Marketing|Publishing|Social Commerce|Social CRM|Social Media Management|Social Media Monitoring," 25,900,000 ",operating,USA,NY,New York City,New York,3,2008,2012-02-16,2015-02-02
TraitWare,Security," 4,726,008 ",operating,USA,CA,SF Bay Area,San Francisco,1,2008,2010-06-11,2010-06-11
Traxo,Loyalty Programs|Social Media|Tracking|Travel|Web Development," 5,740,000 ",operating,USA,TX,Dallas,Dallas,2,2008,2012-06-01,2013-09-25
Treventis,Biotechnology|Health Diagnostics," 4,400,000 ",operating,USA,PA,Philadelphia,Bryn Mawr,1,2008,2013-09-19,2013-09-19
Trew,Fashion," 1,600,000 ",operating,USA,OR,"Portland, Oregon",Portland,1,2008,2015-09-11,2015-09-11
TriNovus,Software," 2,250,000 ",operating,USA,AL,Birmingham,Birmingham,1,2008,2011-06-07,2011-06-07
Triporati,Travel," 6,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2008,2008-08-30,2011-05-04
trueAnthem,Big Data Analytics|Optimization|Social Media Platforms," 4,205,104 ",operating,USA,CA,SF Bay Area,San Francisco,2,2008,2013-08-29,2015-09-03
Trumpet Search,Music|Music Services|Search," 14,077,866 ",operating,USA,CA,SF Bay Area,Pleasanton,3,2008,2010-09-21,2015-11-12
TrustYou,Hospitality," 5,000,000 ",operating,USA,TX,Dallas,Dallas,1,2008,2011-09-20,2011-09-20
Tunitas Therapeutics,Bio-Pharm|Pharmaceuticals|Therapeutics," 10,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,2008,2015-09-30,2015-09-30
TVA Medical,Health and Wellness|Health Care|Health Care Information Technology," 27,100,000 ",operating,USA,TX,Austin,Austin,3,2008,2010-01-11,2015-10-06
Twilio,Enterprise Software," 233,700,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2008,2009-01-01,2015-07-29
UGE,Clean Technology|Solar," 26,089,000 ",operating,USA,NY,New York City,New York,3,2008,2013-08-07,2014-04-15
Unifysquare,Communications Infrastructure|Enterprise Software," 30,218,779 ",operating,USA,WA,Seattle,Bellevue,5,2008,2012-06-15,2015-08-11
Unigo,Advertising|Big Data|Communities|Consumer Lending|Content|Curated Web|Digital Media|EdTech|Education|Financial Services|Generation Y-Z|Guides|K-12 Education|Lead Generation|Marketplaces|Reviews and Recommendations|Startups|Universities|Young Adults," 3,200,000 ",operating,USA,NY,New York City,New York,4,2008,2008-03-01,2013-07-01
UNITED ORTHOPEDIC GROUP,Biotechnology," 2,105,265 ",operating,USA,TX,Dallas,Plano,1,2008,2013-05-30,2013-05-30
University of Nebraska Medical Center,Education," 11,200,000 ",operating,USA,NE,Omaha,Omaha,1,2008,2013-09-18,2013-09-18
Univita Health,Health Care|Hospitals|Medical," 45,100,000 ",operating,USA,MN,Minneapolis,Eden Prairie,2,2008,2010-01-06,2015-03-17
Unwired Nation,Android|Apps|Banking|iPhone|Mobile|Mobile Payments|PaaS|SaaS," 4,600,000 ",operating,USA,TX,Austin,Austin,1,2008,2012-01-03,2012-01-03
Updox,Electronic Health Records|Software," 4,000,000 ",operating,USA,OH,"Columbus, Ohio",Dublin,3,2008,2009-04-28,2015-05-19
Uprizer Labs,Artificial Intelligence|Peer-to-Peer|Software," 5,250,000 ",operating,USA,TX,Austin,Austin,5,2008,2001-02-19,2004-11-16
Usable Security Systems,Security," 2,573,437 ",operating,USA,CA,SF Bay Area,San Francisco,1,2008,2009-06-10,2009-06-10
UserVoice,Customer Service|Customer Support Tools|Forums|Reviews and Recommendations|Software," 1,800,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2008,2009-05-19,2011-11-18
Vapor Corp,Consumer Goods," 1,250,000 ",operating,USA,NY,NY - Other,Florida,1,2008,2014-11-26,2014-11-26
Vascular Dynamics,Hardware + Software," 35,177,092 ",operating,USA,CA,SF Bay Area,Mountain View,3,2008,2012-03-05,2015-01-08
Vdopia,Advertising Exchanges|Mobile|Mobile Advertising|Mobile Video," 13,091,862 ",operating,USA,CA,SF Bay Area,Fremont,4,2008,2008-09-15,2014-07-01
Ventiva,Manufacturing," 10,963,708 ",operating,USA,CA,SF Bay Area,Santa Clara,3,2008,2009-07-03,2011-10-07
