name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Event Source,Event Management," 19,000,000 ",operating,USA,IL,IL - Other,Ohio,1,1979,2000-06-12,2000-06-12
Galloway Realty,Real Estate," 17,000,000 ",operating,USA,AZ,Phoenix,Phoenix,1,1979,2014-09-25,2014-09-25
General Communication,Mobile," 75,000,000 ",ipo,USA,AK,Anchorage,Anchorage,1,1979,2014-12-04,2014-12-04
GoodLife Fitness,Health and Wellness," 70,000,000 ",operating,USA,CA,Ontario - Inland Empire,Ontario,1,1979,2015-04-08,2015-04-08
Guardian Healthcare,Biotechnology," 4,552,736 ",operating,USA,TX,Dallas,Mckinney,1,1979,2010-07-15,2010-07-15
MGT Capital Investments,Finance|FinTech," 8,939,981 ",operating,USA,NY,New York City,Harrison,3,1979,2012-11-19,2013-12-12
P2 Energy Solutions,Software," 250,000,000 ",operating,USA,CO,Denver,Denver,2,1979,2008-06-17,2013-10-07
Pathology Holdings,Biotechnology," 24,654,366 ",operating,USA,CA,Los Angeles,Torrance,1,1979,2009-10-20,2009-10-20
Promotion In Motion,Food Processing," 3,000,000 ",operating,USA,NJ,Newark,Allendale,1,1979,2008-03-28,2008-03-28
RPI (Reischling Press),Manufacturing," 10,000,000 ",operating,USA,WA,Seattle,Seattle,2,1979,2010-07-22,2010-10-25
Seagate,Databases|Hardware|Hardware + Software|Networking|Storage|Technology," 681,759,114 ",ipo,USA,CA,SF Bay Area,Scotts Valley,1,1979,2011-12-28,2011-12-28
STI Technologies,Software," 17,000,000 ",operating,USA,NY,"Rochester, New York",Rochester,1,1979,2013-10-18,2013-10-18
US Data Corporation,Advertising|App Marketing|B2B|Direct Marketing|Email Marketing|Lead Generation," 1,500,000 ",operating,USA,NE,Omaha,Omaha,1,1979,2003-01-29,2003-01-29
Viragen,Biotechnology," 9,430,000 ",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,3,1979,2005-09-15,2007-04-16
Vitamin Research Products,Biotechnology," 4,500,023 ",operating,USA,NV,Reno - Sparks,Carson City,1,1979,2012-02-23,2012-02-23
BMC Software,Software," 750,000,000 ",ipo,USA,TX,Houston,Houston,1,1980,2014-04-08,2014-04-08
Callaway Digital Arts,Mobile," 6,000,000 ",operating,USA,NY,New York City,New York,1,1980,2010-11-01,2010-11-01
Cardiodynamics International,," 3,300,000 ",operating,USA,CA,San Diego,San Diego,1,1980,1999-12-10,1999-12-10
CSX Corporation,Public Transportation|Services|Transportation," 300,000,000 ",ipo,USA,FL,Jacksonville,Jacksonville,1,1980,2003-02-28,2003-02-28
DigitalTown,EdTech|Education," 1,380,110 ",operating,USA,MN,Minneapolis,Burnsville,3,1980,2011-01-28,2012-04-13
