name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Dyadic International,Biotechnology,"2,000,000",ipo,USA,FL,Palm Beaches,Jupiter,1,1979,09/03/15,09/03/15,,,1979
Dynatronics Corporation,Medical,"4,000,000",ipo,USA,UT,Salt Lake City,Salt Lake City,1,1979,04/05/15,04/05/15,,,1979
Event Source,Event Management,"19,000,000",operating,USA,IL,IL - Other,Ohio,1,1979,12/06/00,12/06/00,,,1979
Galloway Realty,Real Estate,"17,000,000",operating,USA,AZ,Phoenix,Phoenix,1,1979,25/09/14,25/09/14,,,1979
General Communication,Mobile,"75,000,000",ipo,USA,AK,Anchorage,Anchorage,1,1979,04/12/14,04/12/14,,,1979
GoodLife Fitness,Health and Wellness,"70,000,000",operating,USA,CA,Ontario - Inland Empire,Ontario,1,1979,08/04/15,08/04/15,,,1979
Guardian Healthcare,Biotechnology,"4,552,736",operating,USA,TX,Dallas,Mckinney,1,1979,15/07/10,15/07/10,,,1979
MGT Capital Investments,Finance|FinTech,"8,939,981",operating,USA,NY,New York City,Harrison,3,1979,19/11/12,12/12/13,,,1979
P2 Energy Solutions,Software,"250,000,000",operating,USA,CO,Denver,Denver,2,1979,17/06/08,07/10/13,,,1979
Pathology Holdings,Biotechnology,"24,654,366",operating,USA,CA,Los Angeles,Torrance,1,1979,20/10/09,20/10/09,,,1979
Promotion In Motion,Food Processing,"3,000,000",operating,USA,NJ,Newark,Allendale,1,1979,28/03/08,28/03/08,,,1979
RPI (Reischling Press),Manufacturing,"10,000,000",operating,USA,WA,Seattle,Seattle,2,1979,22/07/10,25/10/10,,,1979
Seagate,Databases|Hardware|Hardware + Software|Networking|Storage|Technology,"681,759,114",ipo,USA,CA,SF Bay Area,Scotts Valley,1,1979,28/12/11,28/12/11,,,1979
STI Technologies,Software,"17,000,000",operating,USA,NY,"Rochester, New York",Rochester,1,1979,18/10/13,18/10/13,,,1979
US Data Corporation,Advertising|App Marketing|B2B|Direct Marketing|Email Marketing|Lead Generation,"1,500,000",operating,USA,NE,Omaha,Omaha,1,1979,29/01/03,29/01/03,,,1979
Viragen,Biotechnology,"9,430,000",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,3,1979,15/09/05,16/04/07,,,1979
Vitamin Research Products,Biotechnology,"4,500,023",operating,USA,NV,Reno - Sparks,Carson City,1,1979,23/02/12,23/02/12,,,1979
BMC Software,Software,"750,000,000",ipo,USA,TX,Houston,Houston,1,1980,08/04/14,08/04/14,,,1980
Callaway Digital Arts,Mobile,"6,000,000",operating,USA,NY,New York City,New York,1,1980,01/11/10,01/11/10,,,1980
Cardiodynamics International,,"3,300,000",operating,USA,CA,San Diego,San Diego,1,1980,10/12/99,10/12/99,,,1980
CSX Corporation,Public Transportation|Services|Transportation,"300,000,000",ipo,USA,FL,Jacksonville,Jacksonville,1,1980,28/02/03,28/02/03,,,1980
DigitalTown,EdTech|Education,"1,380,110",operating,USA,MN,Minneapolis,Burnsville,3,1980,28/01/11,13/04/12,,,1980
GIGA TRONICS,Manufacturing,"1,791,329",ipo,USA,CA,SF Bay Area,San Ramon,2,1980,01/03/13,20/02/15,,,1980
Heartland Dental Care,Health and Wellness,"1,572,000",operating,USA,IL,"Springfield, Illinois",Effingham,1,1980,03/06/11,03/06/11,,,1980
Molina Healthcare,Health Care,"3,114,157",ipo,USA,CA,"Orange County, California",Long Beach,1,1980,09/09/14,09/09/14,,,1980
Northwest Analytics,Software,"1,400,000",operating,USA,OR,"Portland, Oregon",Portland,1,1980,23/07/14,23/07/14,,,1980
OSIsoft,Enterprise Software,"139,500,000",operating,USA,CA,SF Bay Area,San Leandro,2,1980,21/10/09,05/01/11,,,1980
Air Ion Devices,Hardware + Software,"2,380,000",operating,USA,CA,SF Bay Area,Martinez,2,1981,17/04/09,21/10/13,,,1981
ARI Network Services,E-Commerce|Software,"4,800,000",ipo,USA,WI,Milwaukee,Milwaukee,1,1981,13/03/13,13/03/13,,,1981
Aspen Technology,Software,"100,000,000",ipo,USA,MA,Boston,Bedford,1,1981,19/08/03,19/08/03,,,1981
Aztec Group,Finance,"5,300,000",operating,USA,FL,Miami,Miami,1,1981,12/02/14,12/02/14,,,1981
Biovest International,Biotechnology,"7,000,000",operating,USA,FL,Tampa,Tampa,1,1981,28/10/10,28/10/10,,,1981
Blue Shield of California Foundation,Health and Wellness,"9,100,000",operating,USA,CA,SF Bay Area,San Francisco,1,1981,27/06/13,27/06/13,,,1981
CalAmp,Mobile,"9,250,000",ipo,USA,CA,Santa Barbara,Oxnard,2,1981,07/01/10,19/01/10,,,1981
EnduraCare AcuteCare,Biotechnology,"7,646,823",operating,USA,AL,Mobile,Mobile,2,1981,18/09/09,13/01/10,,,1981
Expert Networks,Software,"2,327,337",operating,USA,CA,Los Angeles,Chatsworth,2,1981,21/09/12,01/10/13,,,1981
Healthways,Fitness|Health and Wellness|Health Care,"25,000,000",ipo,USA,TN,Nashville,Franklin,2,1981,13/09/11,02/10/13,,,1981
ImmunoGen,Biotechnology,"26,000,000",ipo,USA,MA,Boston,Waltham,4,1981,15/06/11,20/12/11,,,1981
Jackrabbit,Clean Technology,"17,700,000",operating,USA,CA,CA - Other,Ripon,1,1981,22/04/13,22/04/13,,,1981
