name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Jazva,Internet,"2,000,000",operating,USA,CA,Los Angeles,Pasadena,1,2010,27/05/15,27/05/15,,,2010
Jibe,Employment|Enterprise Software|Networking|Recruiting|Search|Social Recruiting,"40,875,000",operating,USA,NY,New York City,New York,5,2010,22/03/10,20/05/14,,,2010
Jingit,Advertising|Mobile|Payments|Retail|Sales and Marketing|Social Media,"7,499,000",operating,USA,MN,Minneapolis,Minneapolis,3,2010,18/02/10,19/11/12,,,2010
Jirafe,Analytics,"7,000,000",operating,USA,NY,New York City,New York,2,2010,20/12/10,26/06/12,,,2010
JOOR,Fashion,"20,071,510",operating,USA,NY,New York City,New York,3,2010,19/07/11,25/07/13,,,2010
Jumio,Software,"36,713,881",operating,USA,CA,SF Bay Area,Palo Alto,5,2010,22/09/10,01/04/14,,,2010
Junar,Big Data|Enterprise Software,"1,240,000",operating,USA,CA,SF Bay Area,Palo Alto,3,2010,25/10/10,28/05/13,,,2010
Juntos,FinTech|Software,"4,699,397",operating,USA,CA,SF Bay Area,San Carlos,2,2010,26/06/13,21/07/14,,,2010
JustFab,E-Commerce|Fashion|Lifestyle|Online Shopping|Retail|Shoes,"254,000,000",operating,USA,CA,Los Angeles,El Segundo,6,2010,21/09/11,28/08/14,,,2010
JustFoodForDogs,Pets,"2,600,000",operating,USA,CA,Los Angeles,West Hollywood,1,2010,01/01/14,01/01/14,,,2010
JustOne Database Inc.,Analytics|Big Data,"4,150,000",operating,USA,CA,SF Bay Area,San Francisco,5,2010,28/01/11,31/12/14,,,2010
JustRight Surgical,Biotechnology|Hardware,"21,256,123",operating,USA,CO,Denver,Boulder,4,2010,15/02/11,16/05/14,,,2010
Kaggle,Analytics|Big Data Analytics|Data Mining|News|Predictive Analytics,"11,000,000",operating,USA,CA,SF Bay Area,San Francisco,1,2010,02/11/11,02/11/11,,,2010
Kailos Genetics,Biotechnology,"1,900,000",operating,USA,AL,Huntsville,Huntsville,1,2010,05/12/11,05/12/11,,,2010
kaleo,Biotechnology,"165,000,000",operating,USA,VA,Richmond,Richmond,2,2010,29/05/12,07/04/14,,,2010
KannaLife Sciences,Biotechnology|Cannabis|Pharmaceuticals,"1,500,000",operating,USA,PA,Philadelphia,Doylestown,2,2010,07/03/13,01/05/15,,,2010
Kapost,Content|Software,"18,950,000",operating,USA,CO,Denver,Boulder,6,2010,01/08/10,12/05/15,,,2010
KellBenx,Biotechnology,"13,500,000",operating,USA,NY,Long Island,Massapequa,3,2010,21/04/11,29/07/13,,,2010
Kenandy,Enterprise Software,"43,500,000",operating,USA,CA,SF Bay Area,Redwood City,2,2010,29/08/11,10/06/13,,,2010
Kickanotch mobile,Android|App Marketing|iPhone|Mobile|Mobile Advertising|Monetization,"1,600,000",operating,USA,KS,KS - Other,Prairie Village,3,2010,04/04/11,04/11/11,,,2010
Kidizen,Collaborative Consumption|Curated Web|Marketplaces|Mobile|Parenting|Peer-to-Peer,"1,550,000",operating,USA,MN,Minneapolis,Minneapolis,6,2010,13/11/10,31/08/15,,,2010
Kiip,Advertising|Games|Mobile,"19,009,963",operating,USA,CA,SF Bay Area,San Francisco,7,2010,28/10/10,19/11/14,,,2010
Kimble Applications,Software,"1,800,000",operating,USA,AZ,Phoenix,Phoenix,1,2010,29/01/15,29/01/15,,,2010
Kindara,Apps|Consumer Electronics|Health Care|Medical|Mobile,"6,925,000",operating,USA,CO,Denver,Boulder,6,2010,21/02/12,19/08/15,,,2010
Kindling,Manufacturing|Publishing|Software,"2,300,000",operating,USA,NY,New York City,New York,1,2010,03/10/12,03/10/12,,,2010
Kinestral Technologies,Manufacturing,"27,085,039",operating,USA,CA,SF Bay Area,South San Francisco,4,2010,27/09/11,26/02/14,,,2010
Kinvey,Enterprise Software|Finance,"17,818,000",operating,USA,MA,Boston,Boston,4,2010,15/03/11,23/09/14,,,2010
Knetik,Analytics|Business Intelligence|Enterprise Software|Marketing Automation|Predictive Analytics|SaaS|Software,"2,600,000",operating,USA,FL,Orlando,Altamonte Springs,5,2010,01/01/11,20/01/15,,,2010
Knopp Biosciences LLC,Biotechnology,"108,442,730",operating,USA,PA,Pittsburgh,Pittsburgh,6,2010,01/01/06,08/07/15,,,2010
Knowledge Delivery Systems,EdTech|Education,"18,120,360",operating,USA,NY,New York City,New York,8,2010,26/04/11,27/05/15,,,2010
KnowledgeVision,Internet Marketing|Software,"11,196,032",operating,USA,MA,Boston,Concord,6,2010,10/06/10,31/07/14,,,2010
"Kopo Kopo, Inc.",Enterprise Software|Financial Services|Information Technology|Mobile Payments|Payments|Social Entrepreneurship|Telecommunications,"5,859,922",operating,USA,WA,Seattle,Seattle,5,2010,20/08/10,14/10/15,,,2010
Kroll Bond Rating Agency,Finance,"15,000,000",operating,USA,NY,New York City,New York,2,2010,01/08/10,05/08/13,,,2010
Krux,Ad Targeting|Advertising Platforms|Analytics|Big Data|Big Data Analytics|Brand Marketing|Digital Media|Internet Marketing,"50,000,000",operating,USA,CA,SF Bay Area,San Francisco,3,2010,01/05/10,11/06/14,,,2010
Kyruus,Analytics|Health Care|Physicians,"58,250,000",operating,USA,MA,Boston,Boston,5,2010,01/06/11,18/09/15,,,2010
L2,Fashion|Financial Services|Internet Marketing|Lifestyle|Travel,"16,500,000",operating,USA,NY,New York City,New York,1,2010,12/03/14,12/03/14,,,2010
lark,Hardware + Software|Health and Wellness,"4,100,000",operating,USA,CA,SF Bay Area,Mountain View,5,2010,24/05/11,02/10/14,,,2010
latakoo,Enterprises|Enterprise Software|News|Video,"2,550,000",operating,USA,TX,Austin,Austin,2,2010,25/10/12,31/01/13,,,2010
Lavu Inc.,Apps|iPad|iPod Touch|Point of Sale|Software,"15,000,000",operating,USA,NM,Albuquerque,Albuquerque,1,2010,15/06/15,15/06/15,,,2010
LeagueApps,E-Commerce|Local|SaaS|Small and Medium Businesses|Sports,"8,217,278",operating,USA,NY,New York City,New York,4,2010,30/11/11,27/08/15,,,2010
LeanTaaS,Hospitals,"3,000,000",operating,USA,CA,SF Bay Area,Santa Clara,1,2010,20/10/15,20/10/15,,,2010
Leap Motion,Augmented Reality|Embedded Hardware and Software|Hardware + Software,"44,050,000",operating,USA,CA,SF Bay Area,San Francisco,5,2010,10/06/11,08/10/15,,,2010
LearnBoost,Education,"2,875,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,26/07/10,11/05/11,,,2010
LearnBop,Computer Vision|EdTech|Education|Tutoring,"2,525,000",operating,USA,NY,New York City,New York,3,2010,15/08/11,01/10/12,,,2010
Lellan,Design,"1,580,000",operating,USA,CA,SF Bay Area,Redwood City,7,2010,18/12/11,17/02/15,,,2010
LibertadCard,Finance|Financial Services|Payments,"3,476,704",operating,USA,CA,Los Angeles,Culver City,1,2010,27/12/10,27/12/10,,,2010
LightArrow,Mobile,"1,700,000",operating,USA,TX,Austin,Austin,3,2010,24/03/10,22/03/13,,,2010
Lighter Capital,Angels|Finance|FinTech|SaaS|Software|Venture Capital,"115,000,000",operating,USA,WA,Seattle,Seattle,3,2010,01/06/10,27/11/15,,,2010
LightSquared,Mobile,"265,000,000",operating,USA,VA,"Washington, D.C.",Reston,1,2010,05/07/11,05/07/11,,,2010
Liquid Grids,Advertising|PaaS|Social Media,"4,817,324",operating,USA,CA,San Diego,San Diego,2,2010,31/08/11,26/02/14,,,2010
LiquidSpace,Collaborative Consumption|Curated Web|Marketplaces|Peer-to-Peer|Real Estate|Real Time,"26,200,000",operating,USA,CA,SF Bay Area,Palo Alto,6,2010,21/12/10,30/10/14,,,2010
Liquid X,Semiconductors,"1,400,000",operating,USA,PA,Pittsburgh,Pittsburgh,2,2010,03/07/13,11/07/13,,,2010
Lit Motors,Clean Technology|Electric Vehicles|Sensors|Transportation,"2,200,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/01/13,05/03/14,,,2010
Little Borrowed Dress,E-Commerce,"2,580,850",operating,USA,NY,New York City,New York,3,2010,27/02/14,09/07/15,,,2010
loanDepot,Finance|Real Estate,"12,199,000",operating,USA,CA,"Orange County, California",Foothill Ranch,1,2010,15/01/14,15/01/14,,,2010
LocBox,Advertising|Curated Web|Internet|Local|Local Businesses|Local Commerce|Retail,"5,041,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/03/11,01/06/12,,,2010
"LockPath, Inc.",Governance|Information Security|Risk Management,"8,000,000",operating,USA,KS,Kansas City,Overland Park,3,2010,01/04/10,16/07/12,,,2010
LocoMobi,Mobile,"9,000,000",operating,USA,CA,SF Bay Area,San Carlos,2,2010,01/05/12,01/12/13,,,2010
Lonestar Heart,Biotechnology,"47,118,258",operating,USA,CA,Los Angeles,Laguna Hills,5,2010,22/07/09,04/09/14,,,2010
Lot18,Hospitality,"44,500,000",operating,USA,NY,New York City,New York,5,2010,01/01/10,04/11/11,,,2010
LoudCloud Systems,Analytics,"14,999,990",operating,USA,TX,Dallas,Dallas,2,2010,18/02/10,27/06/12,,,2010
LQD Business Finance,Financial Services,"30,000,000",operating,USA,IL,Chicago,Chicago,1,2010,18/11/15,18/11/15,,,2010
Lucid,Analytics,"3,199,451",operating,USA,LA,New Orleans,New Orleans,2,2010,08/11/11,19/02/15,,,2010
"Lucidity Lights, Inc.",Energy Efficiency|Lighting,"34,213,869",operating,USA,MA,Boston,Charlestown,4,2010,01/01/12,23/09/14,,,2010
Lukup Media,Broadcasting|Content|Digital Media|Hardware + Software|Internet TV,"2,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,13/12/10,12/01/12,,,2010
"Lumesis, Inc.",Analytics,"8,481,871",operating,USA,CT,Hartford,Stamford,4,2010,22/02/12,06/06/14,,,2010
Luminoso,Advertising,"7,999,997",operating,USA,MA,Boston,Cambridge,2,2010,25/02/13,02/07/14,,,2010
Luxera,Semiconductors,"4,000,000",operating,USA,CA,SF Bay Area,Fremont,1,2010,16/07/12,16/07/12,,,2010
Luxul Technology,Enterprise Software,"3,850,000",operating,USA,CA,SF Bay Area,Santa Clara,2,2010,25/11/13,01/07/14,,,2010
Luxury Garage Sale,Fashion,"1,500,000",operating,USA,IL,Chicago,Chicago,1,2010,17/02/15,17/02/15,,,2010
Lyatiss,Cloud Computing|Software,"3,320,000",operating,USA,CA,SF Bay Area,Mountain View,2,2010,01/05/12,10/05/12,,,2010
LYFE Kitchen,Hospitality,"21,000,000",operating,USA,IL,Chicago,Chicago,1,2010,14/04/14,14/04/14,,,2010
Main Street Hub,CRM|Email Marketing|Local Businesses|Marketing Automation|Reviews and Recommendations|Small and Medium Businesses,"66,000,000",operating,USA,TX,Austin,Austin,6,2010,01/10/11,16/07/15,,,2010
Majeska & Associates,Software,"2,400,000",operating,USA,OK,Tulsa,Tulsa,1,2010,04/08/10,04/08/10,,,2010
Manzama,Enterprise Software|Financial Services|FinTech|Legal|Professional Services,"1,500,000",operating,USA,OR,Eugene,Bend,2,2010,01/10/10,17/07/14,,,2010
Mapbox,Design|Enterprise Software|Geospatial|Maps|Open Source,"63,175,000",operating,USA,DC,"Washington, D.C.",Washington,3,2010,21/09/12,17/06/15,,,2010
Marketecture,Analytics|Content|CRM|Internet Marketing|Payments|SaaS|Software|Web Hosting,"1,473,000",operating,USA,UT,Salt Lake City,American Fork,6,2010,01/01/10,01/01/13,,,2010
Marqeta,Finance Technology|Payments|Transaction Processing,"45,517,900",operating,USA,CA,SF Bay Area,Emeryville,5,2010,14/06/11,27/10/15,,,2010
Mashape,Cloud Computing|Cloud Data Services|Developer APIs|Enterprise Software,"1,601,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/04/10,15/08/11,,,2010
Matterport,Cloud Computing|Computer Vision|Digital Media|Hardware + Software,"56,000,000",operating,USA,CA,SF Bay Area,Mountain View,5,2010,01/01/12,25/06/15,,,2010
MediaPass,Advertising|Software,"2,250,000",operating,USA,CA,Los Angeles,Los Angeles,2,2010,26/01/12,28/03/12,,,2010
Medical Referral Source,Health Care,"1,700,000",operating,USA,AZ,Tucson,Tucson,1,2010,25/05/12,25/05/12,,,2010
MediLogix,Health Care|Hospitals|Medical Devices,"1,750,000",operating,USA,CO,Denver,Denver,1,2010,30/10/14,30/10/14,,,2010
Medimetrix Solutions Exchange,Biotechnology,"2,620,466",operating,USA,FL,Palm Beaches,Boca Raton,3,2010,18/11/10,11/05/12,,,2010
Medivo,Big Data Analytics|Health Care,"22,745,000",operating,USA,NY,New York City,New York,3,2010,18/08/11,17/06/13,,,2010
Mela Artisans,Fashion,"3,000,000",operating,USA,FL,Palm Beaches,Boca Raton,1,2010,03/03/14,03/03/14,,,2010
meQuilibrium,Health and Wellness,"14,300,000",operating,USA,MA,Boston,Boston,3,2010,14/09/11,16/04/15,,,2010
Merchant Atlas,Advertising|Analytics|SaaS|Sales and Marketing|Sales Automation|Social Media,"8,666,048",operating,USA,CA,SF Bay Area,San Mateo,5,2010,01/12/10,13/03/14,,,2010
"Mercy Nutraceuticals, Inc.",Manufacturing,"5,444,494",operating,USA,NY,New York City,New York,3,2010,11/12/11,06/02/14,,,2010
Meridian-IQ,Software,"3,545,000",operating,USA,NY,New York City,New York,2,2010,19/08/11,09/04/14,,,2010
Message Bus,Email|Messaging|Services|Utilities,"19,300,000",operating,USA,CA,SF Bay Area,San Francisco,4,2010,29/03/11,28/05/14,,,2010
Messagemind,Enterprise Software,"3,427,500",operating,USA,NY,New York City,New York,1,2010,20/09/12,20/09/12,,,2010
Metamarkets,Advertising|Analytics,"43,500,000",operating,USA,CA,SF Bay Area,San Francisco,5,2010,01/06/10,24/02/15,,,2010
Metric Insights,Analytics|Business Intelligence,"3,758,835",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/12/13,04/03/15,,,2010
Metrodigi,SaaS|Software,"3,920,000",operating,USA,CA,SF Bay Area,Larkspur,2,2010,14/10/14,10/12/14,,,2010
MetroGames,Games,"5,000,000",operating,USA,CA,SF Bay Area,Mountain View,1,2010,16/03/10,16/03/10,,,2010
Metropolis Dialysis Services,Health and Wellness,"1,024,044",operating,USA,MA,Boston,Waltham,1,2010,24/01/11,24/01/11,,,2010
Microf,Customer Service|Financial Services,"12,300,000",operating,USA,GA,"Albany, Georgia",Albany,1,2010,06/05/15,06/05/15,,,2010
Micro Interventional Devices,Health Care,"3,850,000",operating,USA,PA,Philadelphia,Newtown,3,2010,29/02/12,14/01/13,,,2010
MindClick Global,Hospitality|Marketplaces|SaaS|Sustainability,"1,200,000",operating,USA,OR,Eugene,Bend,1,2010,11/10/13,11/10/13,,,2010
MindMixer,Communities|Government Innovation|SaaS,"23,200,000",operating,USA,MO,Kansas City,Kansas City,4,2010,01/03/11,02/09/14,,,2010
MindSnacks,Games|Language Learning,"7,700,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,09/03/11,02/08/12,,,2010
MineralTree,Accounting|Banking|Finance|Financial Services|FinTech|Payments,"22,700,000",operating,USA,MA,Boston,Cambridge,3,2010,09/11/11,11/02/15,,,2010
Minus,Curated Web|File Sharing|Web Hosting,"12,117,870",operating,USA,NY,New York City,New York,5,2010,02/08/11,19/05/15,,,2010
Mnemosyne Pharmaceuticals,Biotechnology,"11,400,000",operating,USA,RI,Providence,Providence,2,2010,16/02/12,21/06/13,,,2010
Moasis,Hospitality,"6,187,982",operating,USA,CA,SF Bay Area,Union City,3,2010,04/05/11,15/09/14,,,2010
Moat,Advertising|Creative|Displays|Search,"17,500,000",operating,USA,NY,New York City,New York,3,2010,01/01/10,23/04/12,,,2010
MoBeam,Mobile,"28,491,285",operating,USA,CA,SF Bay Area,Palo Alto,13,2010,28/04/10,27/10/15,,,2010
Mobile Fuel,Automotive|Gas,"1,150,000",operating,USA,GA,Atlanta,Atlanta,3,2010,04/08/13,12/09/15,,,2010
Mobilewalla,Big Data|Big Data Analytics|Mobile,"8,362,914",operating,USA,GA,Atlanta,Atlanta,3,2010,12/01/13,03/08/15,,,2010
Mobiplex,Android|Mobile,"4,400,000",operating,USA,CA,SF Bay Area,Santa Clara,2,2010,30/10/12,09/01/13,,,2010
Moblico,Wireless,"1,400,000",operating,USA,OH,OH - Other,West Mansfield,2,2010,11/08/14,20/05/15,,,2010
Mocavo,Families|Search,"5,100,000",operating,USA,CO,Denver,Boulder,3,2010,01/08/11,16/05/12,,,2010
Moda Operandi,Fashion,"138,414,215",operating,USA,NY,New York City,New York,5,2010,23/06/10,13/02/15,,,2010
Moderna Therapeutics,Biotechnology,"674,600,044",operating,USA,MA,Boston,Cambridge,5,2010,06/12/12,05/01/15,,,2010
"Modernizing Medicine, Inc.",Health Care Information Technology|Software,"101,561,000",operating,USA,FL,Palm Beaches,Boca Raton,8,2010,21/01/10,21/09/15,,,2010
Modo Labs,Android|iOS|iPad|iPhone|Mobile|Open Source,"8,050,000",operating,USA,MA,Boston,Cambridge,4,2010,11/05/10,07/10/15,,,2010
ModoPayments,Discounts|Local|Mobile|Mobile Payments,"2,000,000",operating,USA,TX,Dallas,Richardson,1,2010,15/07/14,15/07/14,,,2010
MOGL,Technology,"45,236,966",operating,USA,CA,San Diego,San Diego,7,2010,01/01/11,07/08/15,,,2010
Mojo Motors,Automotive|Cars|Classifieds,"6,457,640",operating,USA,NY,New York City,New York,4,2010,01/02/10,21/03/13,,,2010
MomentFeed,Advertising|Analytics|Digital Media|Internet Marketing|SaaS|Social Media Marketing|Software,"11,237,305",operating,USA,CA,Los Angeles,Santa Monica,4,2010,11/07/11,30/09/15,,,2010
Money360,Real Estate,"113,000,000",operating,USA,CA,"Orange County, California",Ladera Ranch,3,2010,01/01/14,14/04/15,,,2010
"Moon Express, Inc.",Space Travel,"31,500,000",operating,USA,CA,CA - Other,Moffett Field,3,2010,01/09/10,01/09/14,,,2010
Moovweb,Apps|Mobile,"16,700,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/01/09,28/03/13,,,2010
MotherKnows,Health and Wellness|Health Care|Parenting,"3,450,000",operating,USA,CA,SF Bay Area,Palo Alto,3,2010,15/04/11,16/01/13,,,2010
Motif Investing,Brokers|Consumers|Finance|Financial Services,"126,500,000",operating,USA,CA,SF Bay Area,San Mateo,6,2010,07/07/11,20/01/15,,,2010
Motiga,Games,"22,500,000",operating,USA,WA,Seattle,Bellevue,3,2010,25/07/12,15/07/14,,,2010
motivemetrics,Software|Technology,"3,750,000",operating,USA,CA,SF Bay Area,Palo Alto,3,2010,01/04/11,31/05/13,,,2010
Mouth Foods,E-Commerce|Internet|Specialty Foods,"8,411,685",operating,USA,NY,New York City,Brooklyn,4,2010,01/01/12,20/10/15,,,2010
Movable Ink,Advertising|Email|Email Marketing|Real Time|Sales and Marketing,"9,290,000",operating,USA,NY,New York City,New York,3,2010,01/02/11,08/05/13,,,2010
MoveThatBlock.com,Business Services|Classifieds|Employment|Online Dating|Real Estate|Search,"1,050,000",operating,USA,NY,NY - Other,Lyndonville,1,2010,29/09/11,29/09/11,,,2010
mphoria,Mobile,"2,457,500",operating,USA,NC,NC - Other,Huntersville,2,2010,01/03/12,25/07/13,,,2010
mpirik,Health Care|Health Care Information Technology|Information Technology|Medical,"1,750,000",operating,USA,WI,Milwaukee,Milwaukee,1,2010,28/01/15,28/01/15,,,2010
Mr. Number,Mobile,"4,797,338",operating,USA,CA,SF Bay Area,San Mateo,1,2010,03/08/11,03/08/11,,,2010
Murfie,E-Commerce|Finance|Marketplaces|Media|Music|Technology,"3,166,074",operating,USA,WI,Madison,Madison,4,2010,24/01/12,16/01/15,,,2010
MX Technologies,Finance|FinTech,"50,000,000",operating,USA,UT,Salt Lake City,Provo,2,2010,03/11/14,29/04/15,,,2010
Myfacepage,Social Media,"1,500,000",operating,USA,CA,SF Bay Area,San Jose,1,2010,01/05/07,01/05/07,,,2010
MyHealthTeams,Health and Wellness,"10,110,000",operating,USA,CA,SF Bay Area,San Francisco,3,2010,14/08/12,02/11/15,,,2010
MyLikes,Advertising|Social Media Advertising|Twitter Applications|Video Streaming,"6,230,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,13/04/10,30/11/10,,,2010
MyScienceWork,Social Media,"3,104,264",operating,USA,CA,SF Bay Area,San Francisco,3,2010,25/09/12,14/03/15,,,2010
MyVR,Software,"1,400,000",operating,USA,CA,SF Bay Area,San Francisco,1,2010,28/09/12,28/09/12,,,2010
n1health,Health and Wellness,"3,396,496",operating,USA,VA,Richmond,Richmond,2,2010,31/05/13,27/11/13,,,2010
Naiku,Education,"1,330,000",operating,USA,MN,Minneapolis,Minneapolis,3,2010,10/10/11,13/04/14,,,2010
Nanigans,Advertising|Advertising Platforms|Analytics|Mobile Advertising|Predictive Analytics|SaaS|Social Media Marketing,"32,850,000",operating,USA,MA,Boston,Boston,3,2010,09/08/11,25/03/15,,,2010
Nanotronics Imaging,Software,"16,338,400",operating,USA,OH,Akron - Canton,Cuyahoga Falls,2,2010,15/12/13,06/04/15,,,2010
Nara Logics,Artificial Intelligence|Big Data|Neuroscience|PaaS|Personalization|Reviews and Recommendations,"13,000,000",operating,USA,MA,Boston,Cambridge,1,2010,15/10/14,15/10/14,,,2010
Narrative Science,Artificial Intelligence|Big Data|Big Data Analytics,"32,400,000",operating,USA,IL,Chicago,Chicago,6,2010,22/04/10,28/11/14,,,2010
Narvalous,Facebook Applications|Games|Social Games|Startups,"3,100,000",operating,USA,CA,SF Bay Area,Palo Alto,2,2010,08/11/10,26/02/15,,,2010
Nativo,Advertising|Forums,"31,249,996",operating,USA,CA,Los Angeles,El Segundo,4,2010,07/06/10,30/06/15,,,2010
Navmii,Automotive|Maps|Mobile|Navigation,"4,241,446",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/08/09,16/07/12,,,2010
Needle,Chat|Crowdsourcing|E-Commerce|Mobile Commerce|Social Commerce|Software,"19,500,003",operating,USA,UT,Salt Lake City,Salt Lake City,3,2010,04/02/11,23/05/14,,,2010
NeighborMD,Biotechnology,"3,298,998",operating,USA,TN,Nashville,Nashville,3,2010,06/01/12,01/03/13,,,2010
NetBoss Technologies,Software,"8,500,000",operating,USA,FL,Florida's Space Coast,Sebastian,1,2010,15/09/10,15/09/10,,,2010
Nevro,Biotechnology,"106,000,000",ipo,USA,CA,SF Bay Area,Menlo Park,2,2010,19/07/11,07/03/13,,,2010
New Futuro,Software,"2,025,000",operating,USA,IL,Chicago,Chicago,2,2010,15/02/11,13/08/12,,,2010
Newman Infinite,Artificial Intelligence|Cloud Computing|E-Commerce|Enterprises|Enterprise Software|Internet|Mobile|Security|Software|Web Design|Web Hosting,"1,300,000",operating,USA,CA,Los Angeles,Los Angeles,3,2010,01/07/10,01/12/13,,,2010
News360,Curated Web,"1,500,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/07/10,01/05/11,,,2010
New Travelcoo,Travel,"9,800,000",operating,USA,WA,Seattle,Seattle,1,2010,22/03/10,22/03/10,,,2010
Nexercise,Finance|Fitness|Games|Health and Wellness|Mobile,"1,328,558",operating,USA,MD,"Washington, D.C.",Silver Spring,4,2010,22/11/11,06/05/15,,,2010
Nexmo,Developer APIs|Messaging|Mobile|SMS|Wholesale,"22,830,000",operating,USA,CA,SF Bay Area,San Francisco,6,2010,01/01/12,21/01/14,,,2010
Nextdoor,Communities|Privacy|Social Media,"210,200,000",operating,USA,CA,SF Bay Area,San Francisco,4,2010,24/07/12,03/03/15,,,2010
NextGxDX,Biotechnology,"7,675,029",operating,USA,TN,Nashville,Franklin,5,2010,01/01/10,02/10/15,,,2010
Nextly,Software,"1,500,000",operating,USA,MA,Boston,Cambridge,1,2010,24/10/13,24/10/13,,,2010
Nimbix,Software,"7,605,000",operating,USA,TX,Dallas,Dallas,3,2010,30/08/12,21/10/15,,,2010
Ninja Metrics,Analytics|Enterprise Software,"5,680,152",operating,USA,MN,Minneapolis,Minneapolis,2,2010,11/11/13,03/06/15,,,2010
Nodejitsu,Networking|PaaS|Software|Web Hosting,"2,650,000",operating,USA,NY,New York City,New York,3,2010,01/04/11,05/06/13,,,2010
Nohms Technologies,Software,"2,075,000",operating,USA,KY,Lexington,Lexington,3,2010,03/12/13,15/05/15,,,2010
Nora Therapeutics,Biotechnology,"20,932,000",operating,USA,CA,SF Bay Area,Palo Alto,2,2010,02/06/10,17/04/14,,,2010
Norse,Cyber Security|Data Security|Defense|Enterprise Security|Finance Technology|Homeland Security|IT and Cybersecurity|Law Enforcement|Network Security|Retail Technology|Security,"24,950,000",operating,USA,CA,SF Bay Area,San Mateo,4,2010,01/09/11,30/09/15,,,2010
NovaTract Surgical,Health Care,"4,370,000",operating,USA,CT,Hartford,New Haven,6,2010,10/11/10,20/02/15,,,2010
Novel,Enterprise Software|Finance|MMO Games|Software|Video Games|Virtual Worlds,"2,267,282",operating,USA,WA,Seattle,Redmond,3,2010,24/06/10,09/02/12,,,2010
Novita Pharmaceuticals,Biotechnology,"2,000,000",operating,USA,NY,New York City,New York,1,2010,01/01/11,01/01/11,,,2010
"Novu, LLC",Health and Wellness|Health Care|Health Care Information Technology,"20,000,000",operating,USA,MN,Minneapolis,Minneapolis,1,2010,07/04/15,07/04/15,,,2010
NoWait,Mobile,"14,105,310",operating,USA,PA,Pittsburgh,Pittsburgh,7,2010,01/01/10,20/05/14,,,2010
NowSpots,Advertising,"1,360,000",operating,USA,IL,Chicago,Chicago,2,2010,15/11/10,04/10/12,,,2010
NSH Holdco,Market Research,"10,000,000",operating,USA,NY,New York City,New York,1,2010,17/02/11,17/02/11,,,2010
NuoDB,Databases|Enterprise Software,"37,677,945",operating,USA,MA,Boston,Cambridge,5,2010,14/11/10,17/03/15,,,2010
Nurigene,Fashion,"3,257,600",operating,USA,CA,SF Bay Area,San Francisco,1,2010,31/03/11,31/03/11,,,2010
Nuron Biotech,Biotechnology,"52,705,658",operating,USA,PA,Philadelphia,Exton,2,2010,03/01/13,12/02/14,,,2010
NurturMe,Consumer Goods|Hospitality,"1,516,111",operating,USA,TX,Austin,Austin,3,2010,20/12/10,06/05/15,,,2010
Nu-Tech Foods,Hospitality,"1,162,500",operating,USA,CA,Ontario - Inland Empire,Apple Valley,2,2010,27/07/11,09/02/12,,,2010
NX Pharmagen,Biotechnology,"6,080,974",operating,USA,KY,Louisville,Louisville,3,2010,01/01/12,12/03/15,,,2010
Obihai Technology,Cloud Computing|Public Relations|Video Streaming|VoIP,"1,500,000",operating,USA,CA,SF Bay Area,Campbell,1,2010,10/03/10,10/03/10,,,2010
"ObservePoint, Inc.",Advertising|Analytics|Big Data|Enterprise Software|Information Technology|Mobile Analytics|Sales and Marketing,"6,500,000",operating,USA,UT,Salt Lake City,Provo,1,2010,31/03/15,31/03/15,,,2010
Olapic,Content|Crowdsourcing|Curated Web|E-Commerce|Photography|Photo Sharing|Retail|SaaS|Shopping|Video,"21,000,000",operating,USA,NY,New York City,New York,4,2010,16/09/11,23/06/15,,,2010
OMG Holdings,Technology,"2,707,974",operating,USA,WA,Seattle,Seattle,1,2010,04/08/15,04/08/15,,,2010
Omni Water Solutions,Clean Technology,"25,450,981",operating,USA,TX,Austin,Austin,7,2010,01/06/11,29/12/14,,,2010
OncoPep,Biotechnology,"14,400,000",operating,USA,MA,Boston,North Andover,4,2010,15/04/11,28/08/14,,,2010
OneBuild,Real Estate,"3,000,000",operating,USA,WA,Seattle,Seattle,1,2010,22/12/10,22/12/10,,,2010
One Click Politics,Governments|Internet|Messaging|Politics|Startups,"2,000,000",operating,USA,DE,"Wilmington, Delaware",Wilmington,1,2010,01/01/10,01/01/10,,,2010
OneSpace,Crowdsourcing|Software,"12,500,000",operating,USA,IL,IL - Other,Swansea,1,2010,22/10/12,22/10/12,,,2010
OneTwoSee,Software|Sports,"2,500,000",operating,USA,PA,Philadelphia,Philadelphia,5,2010,24/10/11,05/10/15,,,2010
